amka,tmima_id
30000000001,1
30000000002,1
30000000003,1
30000000004,1
30000000005,1
30000000006,1
30000000007,1
30000000008,1
30000000009,1
30000000010,1
30000000011,1
30000000012,1
30000000013,2
30000000014,2
30000000015,2
30000000016,2
30000000017,2
30000000018,2
30000000019,2
30000000020,2
30000000021,2
30000000022,2
30000000023,2
30000000024,2
30000000025,3
30000000026,3
30000000027,3
30000000028,3
30000000029,3
30000000030,3
30000000031,3
30000000032,3
30000000033,3
30000000034,3
30000000035,3
30000000036,3
30000000037,4
30000000038,4
30000000039,4
30000000040,4
30000000041,4
30000000042,4
30000000043,4
30000000044,4
30000000045,4
30000000046,4
30000000047,4
30000000048,4
30000000049,5
30000000050,5
30000000051,5
30000000052,5
30000000053,5
30000000054,5
30000000055,5
30000000056,5
30000000057,5
30000000058,5
30000000059,5
30000000060,5
30000000061,6
30000000062,6
30000000063,6
30000000064,6
30000000065,6
30000000066,6
30000000067,6
30000000068,6
30000000069,6
30000000070,6
30000000071,6
30000000072,6
30000000073,7
30000000074,7
30000000075,7
30000000076,7
30000000077,7
30000000078,7
30000000079,7
30000000080,7
30000000081,7
30000000082,7
30000000083,7
30000000084,7
30000000085,8
30000000086,8
30000000087,8
30000000088,8
30000000089,8
30000000090,8
30000000091,8
30000000092,8
30000000093,8
30000000094,8
30000000095,8
30000000096,8
30000000097,9
30000000098,9
30000000099,9
30000000100,9
30000000101,9
30000000102,9
30000000103,9
30000000104,9
30000000105,9
30000000106,9
30000000107,9
30000000108,9
30000000109,10
30000000110,10
30000000111,10
30000000112,10
30000000113,10
30000000114,10
30000000115,10
30000000116,10
30000000117,10
30000000118,10
30000000119,10
30000000120,10
30000000121,11
30000000122,11
30000000123,11
30000000124,11
30000000125,11
30000000126,11
30000000127,11
30000000128,11
30000000129,11
30000000130,11
30000000131,11
30000000132,11
30000000133,12
30000000134,12
30000000135,12
30000000136,12
30000000137,12
30000000138,12
30000000139,12
30000000140,12
30000000141,12
30000000142,12
30000000143,12
30000000144,12
30000000145,13
30000000146,13
30000000147,13
30000000148,13
30000000149,13
30000000150,13
30000000151,13
30000000152,13
30000000153,13
30000000154,13
30000000155,13
30000000156,13
30000000157,14
30000000158,14
30000000159,14
30000000160,14
30000000161,14
30000000162,14
30000000163,14
30000000164,14
30000000165,14
30000000166,14
30000000167,14
30000000168,14
30000000169,15
30000000170,15
30000000171,15
30000000172,15
30000000173,15
30000000174,15
30000000175,15
30000000176,15
30000000177,15
30000000178,15
30000000179,15
30000000180,15
30000000181,16
30000000182,16
30000000183,16
30000000184,16
30000000185,16
30000000186,16
30000000187,16
30000000188,16
30000000189,16
30000000190,16
30000000191,16
30000000192,16
30000000193,17
30000000194,17
30000000195,17
30000000196,17
30000000197,17
30000000198,17
30000000199,17
30000000200,17
30000000201,17
30000000202,17
30000000203,17
30000000204,17
30000000205,18
30000000206,18
30000000207,18
30000000208,18
30000000209,18
30000000210,18
30000000211,18
30000000212,18
30000000213,18
30000000214,18
30000000215,18
30000000216,18
30000000217,19
30000000218,19
30000000219,19
30000000220,19
30000000221,19
30000000222,19
30000000223,19
30000000224,19
30000000225,19
30000000226,19
30000000227,19
30000000228,19
30000000229,20
30000000230,20
30000000231,20
30000000232,20
30000000233,20
30000000234,20
30000000235,20
30000000236,20
30000000237,20
30000000238,20
30000000239,20
30000000240,20
